#  X_0 = X0p674487; Z_0 = Z0p015513
#  Age    M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    J-K    H-K    V-K
#  age(Gyr)= 0.001
   0.0010 0.6172985  3.6148 -0.0548  3.6927  5.721  1.304  1.245  0.797  1.457  0.856  0.126  3.203
   0.0010 0.6389828  3.6187 -0.0285  3.6966  5.613  1.290  1.232  0.785  1.426  0.842  0.124  3.136
   0.0010 0.6612200  3.6224 -0.0014  3.6995  5.508  1.271  1.217  0.773  1.397  0.828  0.123  3.075
   0.0010 0.6852048  3.6262  0.0248  3.7040  5.409  1.248  1.202  0.761  1.371  0.813  0.123  3.017
   0.0010 0.7093110  3.6300  0.0523  3.7064  5.308  1.224  1.186  0.748  1.344  0.798  0.122  2.962
   0.0010 0.7360222  3.6336  0.0806  3.7088  5.202  1.204  1.171  0.732  1.313  0.785  0.119  2.906
   0.0010 0.7503728  3.6379  0.0981  3.7168  5.119  1.178  1.153  0.712  1.276  0.768  0.115  2.843
   0.0010 0.7640926  3.6420  0.1193  3.7199  5.031  1.151  1.134  0.693  1.240  0.753  0.112  2.785
   0.0010 0.7966856  3.6455  0.1492  3.7223  4.928  1.125  1.117  0.675  1.210  0.740  0.109  2.738
   0.0010 0.8291793  3.6491  0.1790  3.7240  4.827  1.097  1.100  0.657  1.180  0.727  0.105  2.693
   0.0010 0.8638947  3.6527  0.2086  3.7266  4.728  1.068  1.082  0.638  1.150  0.714  0.102  2.650
   0.0010 0.9003258  3.6562  0.2386  3.7285  4.628  1.040  1.066  0.622  1.123  0.702  0.099  2.605
   0.0010 0.9385438  3.6597  0.2692  3.7299  4.527  1.011  1.050  0.609  1.099  0.690  0.098  2.560
   0.0010 0.9785752  3.6632  0.2994  3.7320  4.427  0.981  1.035  0.595  1.076  0.679  0.096  2.516
   0.0010 1.0208164  3.6666  0.3303  3.7332  4.327  0.951  1.019  0.583  1.054  0.668  0.094  2.473
   0.0010 1.0670646  3.6701  0.3606  3.7361  4.229  0.919  1.004  0.571  1.033  0.657  0.093  2.430
   0.0010 1.1132459  3.6735  0.3927  3.7359  4.129  0.887  0.989  0.560  1.015  0.646  0.092  2.390
   0.0010 1.1629020  3.6768  0.4245  3.7364  4.030  0.855  0.973  0.549  0.997  0.636  0.091  2.349
   0.0010 1.2167715  3.6803  0.4558  3.7384  3.934  0.823  0.959  0.539  0.980  0.626  0.090  2.312
   0.0010 1.2730338  3.6836  0.4879  3.7394  3.838  0.791  0.944  0.530  0.965  0.616  0.089  2.276
   0.0010 1.3329614  3.6869  0.5202  3.7403  3.743  0.760  0.930  0.521  0.951  0.606  0.087  2.242
   0.0010 1.3956949  3.6902  0.5531  3.7405  3.647  0.728  0.916  0.514  0.938  0.597  0.086  2.210
   0.0010 1.4609496  3.6935  0.5860  3.7405  3.553  0.695  0.902  0.506  0.927  0.588  0.084  2.179
   0.0010 1.5306839  3.6966  0.6195  3.7400  3.459  0.663  0.888  0.500  0.918  0.579  0.083  2.150
   0.0010 1.6026609  3.6998  0.6532  3.7390  3.365  0.631  0.875  0.494  0.908  0.571  0.081  2.122
   0.0010 1.6783768  3.7030  0.6874  3.7373  3.268  0.603  0.862  0.486  0.896  0.562  0.080  2.092
   0.0010 1.7556606  3.7061  0.7217  3.7351  3.171  0.576  0.851  0.479  0.884  0.553  0.079  2.062
   0.0010 1.8352903  3.7091  0.7564  3.7319  3.073  0.550  0.839  0.471  0.872  0.545  0.078  2.033
   0.0010 1.9188119  3.7121  0.7918  3.7278  2.974  0.525  0.828  0.464  0.860  0.537  0.077  2.005
   0.0010 2.0031381  3.7151  0.8272  3.7231  2.876  0.500  0.818  0.457  0.848  0.528  0.076  1.977
   0.0010 2.0886006  3.7181  0.8626  3.7177  2.777  0.477  0.808  0.450  0.836  0.520  0.076  1.949
   0.0010 2.1733767  3.7211  0.8985  3.7109  2.678  0.454  0.798  0.443  0.825  0.512  0.075  1.921
   0.0010 2.2581933  3.7240  0.9346  3.7030  2.579  0.430  0.786  0.437  0.815  0.503  0.074  1.893
   0.0010 2.3412664  3.7268  0.9710  3.6938  2.479  0.407  0.774  0.431  0.806  0.494  0.073  1.864
   0.0010 2.4233916  3.7296  1.0079  3.6831  2.379  0.383  0.761  0.426  0.798  0.486  0.073  1.836
   0.0010 2.5013322  3.7325  1.0447  3.6713  2.280  0.360  0.748  0.421  0.790  0.477  0.072  1.808
   0.0010 2.5768755  3.7352  1.0822  3.6575  2.179  0.337  0.735  0.417  0.783  0.469  0.071  1.780
   0.0010 2.6465557  3.7379  1.1198  3.6425  2.079  0.314  0.721  0.413  0.777  0.461  0.070  1.753
   0.0010 2.7112985  3.7406  1.1577  3.6257  1.978  0.292  0.707  0.410  0.771  0.452  0.069  1.726
   0.0010 2.7701596  3.7432  1.1959  3.6073  1.876  0.272  0.695  0.404  0.762  0.444  0.068  1.699
   0.0010 2.8229312  3.7458  1.2343  3.5875  1.773  0.253  0.684  0.399  0.753  0.436  0.067  1.672
   0.0010 2.8708701  3.7483  1.2732  3.5660  1.669  0.235  0.672  0.393  0.743  0.427  0.066  1.646
   0.0010 2.9121865  3.7509  1.3116  3.5442  1.566  0.217  0.661  0.387  0.733  0.419  0.064  1.619
   0.0010 2.9501300  3.7534  1.3507  3.5207  1.462  0.200  0.650  0.381  0.722  0.410  0.063  1.592
   0.0010 2.9833667  3.7560  1.3892  3.4973  1.359  0.183  0.638  0.375  0.711  0.402  0.061  1.565
   0.0010 3.0145683  3.7585  1.4281  3.4730  1.255  0.167  0.627  0.368  0.700  0.393  0.059  1.538
   0.0010 3.0430417  3.7611  1.4662  3.4496  1.154  0.153  0.616  0.362  0.688  0.385  0.058  1.513
   0.0010 3.0702818  3.7639  1.5033  3.4275  1.055  0.141  0.605  0.355  0.677  0.378  0.057  1.489
   0.0010 3.0984115  3.7666  1.5406  3.4051  0.956  0.131  0.594  0.349  0.666  0.371  0.057  1.467
   0.0010 3.1259005  3.7696  1.5760  3.3856  0.863  0.122  0.582  0.343  0.654  0.365  0.057  1.445
   0.0010 3.1531546  3.7728  1.6099  3.3680  0.772  0.114  0.570  0.336  0.641  0.359  0.057  1.424
   0.0010 3.1807024  3.7760  1.6438  3.3506  0.683  0.109  0.559  0.329  0.628  0.354  0.058  1.404
   0.0010 3.2061772  3.7794  1.6750  3.3365  0.599  0.104  0.546  0.322  0.614  0.347  0.058  1.380
   0.0010 3.2297018  3.7830  1.7043  3.3248  0.518  0.098  0.533  0.314  0.599  0.338  0.057  1.346
   0.0010 3.2525914  3.7867  1.7325  3.3144  0.439  0.093  0.520  0.306  0.584  0.328  0.056  1.309
   0.0010 3.2743166  3.7904  1.7595  3.3052  0.362  0.090  0.507  0.298  0.569  0.317  0.054  1.269
   0.0010 3.2934598  3.7944  1.7839  3.2991  0.291  0.088  0.493  0.290  0.553  0.305  0.052  1.223
   0.0010 3.3111156  3.7984  1.8068  3.2948  0.225  0.085  0.479  0.282  0.536  0.292  0.050  1.178
   0.0010 3.3268168  3.8025  1.8273  3.2929  0.165  0.082  0.465  0.273  0.519  0.279  0.049  1.133
   0.0010 3.3405458  3.8068  1.8455  3.2935  0.111  0.078  0.450  0.264  0.502  0.266  0.047  1.087
   0.0010 3.3530638  3.8111  1.8623  3.2956  0.061  0.075  0.436  0.255  0.484  0.252  0.046  1.040
   0.0010 3.3647674  3.8155  1.8782  3.2986  0.014  0.074  0.421  0.246  0.467  0.238  0.045  0.993
   0.0010 3.3755047  3.8199  1.8930  3.3028 -0.030  0.074  0.406  0.237  0.451  0.225  0.043  0.946
   0.0010 3.3856944  3.8243  1.9071  3.3077 -0.072  0.076  0.392  0.228  0.435  0.211  0.042  0.900
   0.0010 3.3955663  3.8287  1.9209  3.3128 -0.113  0.080  0.378  0.218  0.419  0.198  0.041  0.854
   0.0010 3.4050926  3.8331  1.9343  3.3184 -0.152  0.082  0.362  0.208  0.401  0.187  0.040  0.812
   0.0010 3.4143908  3.8376  1.9476  3.3240 -0.190  0.083  0.346  0.196  0.381  0.177  0.039  0.773
   0.0010 3.4235346  3.8420  1.9607  3.3298 -0.226  0.085  0.328  0.184  0.359  0.168  0.038  0.737
   0.0010 3.4325134  3.8465  1.9737  3.3358 -0.262  0.088  0.311  0.172  0.338  0.160  0.037  0.703
   0.0010 3.4413078  3.8509  1.9866  3.3418 -0.299  0.100  0.296  0.163  0.322  0.154  0.036  0.668
   0.0010 3.4500390  3.8554  1.9995  3.3479 -0.335  0.116  0.282  0.155  0.309  0.149  0.036  0.634
   0.0010 3.4586460  3.8598  2.0123  3.3540 -0.371  0.137  0.269  0.147  0.298  0.145  0.036  0.601
   0.0010 3.4670964  3.8643  2.0249  3.3603 -0.407  0.156  0.255  0.137  0.283  0.140  0.035  0.566
   0.0010 3.4754793  3.8688  2.0375  3.3666 -0.443  0.174  0.239  0.126  0.266  0.135  0.033  0.531
   0.0010 3.4837504  3.8732  2.0500  3.3729 -0.479  0.194  0.223  0.114  0.248  0.130  0.032  0.495
   0.0010 3.4918900  3.8777  2.0624  3.3794 -0.512  0.208  0.206  0.103  0.230  0.124  0.030  0.460
   0.0010 3.4999583  3.8822  2.0747  3.3859 -0.541  0.214  0.189  0.095  0.215  0.119  0.029  0.428
   0.0010 3.5079413  3.8866  2.0870  3.3925 -0.569  0.216  0.172  0.088  0.201  0.113  0.028  0.397
   0.0010 3.5158294  3.8911  2.0992  3.3992 -0.594  0.215  0.155  0.082  0.186  0.107  0.027  0.368
   0.0010 3.5236249  3.8956  2.1113  3.4059 -0.619  0.213  0.138  0.075  0.172  0.101  0.026  0.343
   0.0010 3.5313496  3.9000  2.1234  3.4127 -0.642  0.208  0.122  0.067  0.158  0.095  0.027  0.320
   0.0010 3.5389938  3.9045  2.1353  3.4196 -0.663  0.200  0.106  0.061  0.145  0.088  0.027  0.299
   0.0010 3.5465386  3.9090  2.1471  3.4267 -0.683  0.189  0.092  0.056  0.136  0.082  0.026  0.279
   0.0010 3.5540261  3.9135  2.1589  3.4337 -0.702  0.174  0.079  0.051  0.128  0.075  0.026  0.261
   0.0010 3.5614648  3.9180  2.1707  3.4408 -0.719  0.158  0.067  0.047  0.122  0.068  0.024  0.243
   0.0010 3.5687928  3.9225  2.1822  3.4481 -0.736  0.143  0.056  0.044  0.114  0.063  0.022  0.225
   0.0010 3.5760632  3.9269  2.1938  3.4554 -0.751  0.127  0.045  0.040  0.107  0.057  0.020  0.207
   0.0010 3.5832962  3.9314  2.2052  3.4628 -0.767  0.110  0.036  0.037  0.099  0.053  0.018  0.189
   0.0010 3.5904608  3.9359  2.2166  3.4703 -0.781  0.094  0.027  0.033  0.092  0.049  0.017  0.171
   0.0010 3.5975412  3.9404  2.2279  3.4779 -0.795  0.077  0.018  0.030  0.085  0.046  0.017  0.151
   0.0010 3.6046072  3.9449  2.2391  3.4855 -0.808  0.062  0.009  0.026  0.078  0.043  0.016  0.133
   0.0010 3.6115308  3.9494  2.2501  3.4933 -0.819  0.047  0.001  0.023  0.070  0.040  0.016  0.116
   0.0010 3.6184037  3.9539  2.2611  3.5011 -0.830  0.034 -0.007  0.019  0.063  0.037  0.015  0.100
   0.0010 3.6252006  3.9584  2.2720  3.5091 -0.841  0.022 -0.014  0.016  0.055  0.034  0.013  0.087
   0.0010 3.6319293  3.9629  2.2827  3.5172 -0.853  0.011 -0.020  0.012  0.048  0.030  0.010  0.075
   0.0010 3.6386061  3.9674  2.2934  3.5253 -0.864  0.000 -0.025  0.008  0.040  0.026  0.007  0.065
   0.0010 3.6452174  3.9720  2.3040  3.5336 -0.875 -0.010 -0.031  0.005  0.034  0.023  0.005  0.054
   0.0010 3.6517831  3.9765  2.3145  3.5419 -0.885 -0.020 -0.036  0.002  0.028  0.021  0.004  0.042
   0.0010 3.6582993  3.9810  2.3249  3.5503 -0.895 -0.031 -0.040 -0.001  0.022  0.019  0.004  0.031
   0.0010 3.6647803  3.9855  2.3352  3.5589 -0.904 -0.044 -0.044 -0.003  0.017  0.017  0.004  0.019
   0.0010 3.6712083  3.9900  2.3454  3.5675 -0.912 -0.057 -0.048 -0.005  0.011  0.015  0.004  0.006
   0.0010 3.6776178  3.9946  2.3555  3.5762 -0.918 -0.072 -0.052 -0.008  0.006  0.012  0.004 -0.007
   0.0010 3.6839532  3.9991  2.3655  3.5851 -0.922 -0.089 -0.056 -0.010  0.001  0.010  0.004 -0.020
   0.0010 3.6902834  4.0036  2.3754  3.5941 -0.925 -0.107 -0.060 -0.012 -0.004  0.007  0.003 -0.034
   0.0010 3.6965986  4.0081  2.3853  3.6031 -0.926 -0.125 -0.064 -0.014 -0.009  0.004  0.002 -0.048
   0.0010 3.7028516  4.0127  2.3949  3.6123 -0.927 -0.143 -0.068 -0.015 -0.013  0.001  0.001 -0.062
   0.0010 3.7091102  4.0172  2.4045  3.6216 -0.926 -0.163 -0.073 -0.017 -0.018 -0.002 -0.000 -0.076
   0.0010 3.7153408  4.0217  2.4140  3.6309 -0.923 -0.183 -0.077 -0.019 -0.022 -0.006 -0.002 -0.091
   0.0010 3.7215728  4.0263  2.4234  3.6404 -0.923 -0.200 -0.081 -0.021 -0.027 -0.009 -0.003 -0.105
   0.0010 3.7277698  4.0308  2.4327  3.6500 -0.921 -0.217 -0.085 -0.023 -0.031 -0.012 -0.004 -0.118
   0.0010 3.7339769  4.0354  2.4419  3.6597 -0.919 -0.233 -0.088 -0.025 -0.036 -0.015 -0.004 -0.131
   0.0010 3.7401988  4.0399  2.4511  3.6694 -0.918 -0.249 -0.092 -0.027 -0.040 -0.018 -0.005 -0.145
   0.0010 3.7463736  4.0445  2.4601  3.6794 -0.916 -0.263 -0.095 -0.029 -0.044 -0.021 -0.005 -0.157
   0.0010 3.7525894  4.0490  2.4690  3.6893 -0.915 -0.277 -0.099 -0.031 -0.049 -0.023 -0.004 -0.170
   0.0010 3.7588000  4.0536  2.4778  3.6994 -0.913 -0.290 -0.102 -0.033 -0.053 -0.025 -0.004 -0.182
   0.0010 3.7650109  4.0581  2.4865  3.7097 -0.912 -0.303 -0.105 -0.035 -0.058 -0.028 -0.002 -0.194
   0.0010 3.7712002  4.0627  2.4950  3.7201 -0.910 -0.315 -0.108 -0.037 -0.062 -0.030 -0.002 -0.205
   0.0010 3.7774895  4.0672  2.5036  3.7305 -0.907 -0.328 -0.111 -0.040 -0.067 -0.031 -0.002 -0.215
   0.0010 3.7836825  4.0718  2.5119  3.7411 -0.902 -0.342 -0.114 -0.042 -0.071 -0.033 -0.003 -0.225
   0.0010 3.7899435  4.0763  2.5201  3.7519 -0.897 -0.355 -0.117 -0.044 -0.075 -0.034 -0.004 -0.233
   0.0010 3.7962442  4.0809  2.5282  3.7627 -0.891 -0.368 -0.121 -0.046 -0.080 -0.035 -0.005 -0.242
   0.0010 3.8025455  4.0855  2.5362  3.7737 -0.886 -0.380 -0.123 -0.048 -0.084 -0.036 -0.006 -0.250
   0.0010 3.8089261  4.0900  2.5441  3.7848 -0.882 -0.391 -0.126 -0.050 -0.087 -0.037 -0.007 -0.258
   0.0010 3.8153217  4.0946  2.5519  3.7961 -0.877 -0.401 -0.128 -0.051 -0.091 -0.038 -0.008 -0.266
   0.0010 3.8217678  4.0992  2.5595  3.8074 -0.872 -0.411 -0.131 -0.053 -0.095 -0.040 -0.009 -0.275
   0.0010 3.8282752  4.1037  2.5670  3.8190 -0.864 -0.422 -0.133 -0.055 -0.098 -0.042 -0.010 -0.284
   0.0010 3.8348219  4.1083  2.5744  3.8306 -0.856 -0.434 -0.136 -0.057 -0.102 -0.045 -0.011 -0.294
   0.0010 3.8414312  4.1129  2.5816  3.8425 -0.847 -0.445 -0.139 -0.059 -0.105 -0.047 -0.012 -0.305
   0.0010 3.8481130  4.1175  2.5887  3.8545 -0.837 -0.457 -0.142 -0.061 -0.109 -0.050 -0.013 -0.315
   0.0010 3.8548602  4.1221  2.5956  3.8667 -0.826 -0.468 -0.145 -0.062 -0.112 -0.053 -0.013 -0.325
   0.0010 3.8616924  4.1266  2.6023  3.8790 -0.814 -0.480 -0.148 -0.064 -0.115 -0.055 -0.014 -0.335
   0.0010 3.8686237  4.1312  2.6089  3.8917 -0.801 -0.492 -0.150 -0.065 -0.119 -0.058 -0.013 -0.345
   0.0010 3.8756732  4.1358  2.6151  3.9045 -0.788 -0.503 -0.153 -0.066 -0.122 -0.060 -0.013 -0.354
   0.0010 3.8828789  4.1404  2.6211  3.9178 -0.773 -0.515 -0.155 -0.068 -0.125 -0.063 -0.012 -0.364
   0.0010 3.8902953  4.1450  2.6267  3.9314 -0.756 -0.527 -0.158 -0.069 -0.128 -0.065 -0.012 -0.373
   0.0010 3.8980029  4.1496  2.6318  3.9455 -0.740 -0.537 -0.160 -0.070 -0.131 -0.068 -0.011 -0.383
   0.0010 3.9061531  4.1542  2.6362  3.9605 -0.723 -0.547 -0.162 -0.071 -0.134 -0.069 -0.011 -0.392
   0.0010 3.9149711  4.1589  2.6396  3.9766 -0.703 -0.556 -0.165 -0.073 -0.137 -0.071 -0.012 -0.401
   0.0010 3.9249540  4.1635  2.6411  3.9947 -0.679 -0.565 -0.167 -0.075 -0.141 -0.072 -0.012 -0.410
   0.0010 3.9373580  4.1681  2.6392  4.0165 -0.647 -0.573 -0.169 -0.076 -0.144 -0.073 -0.012 -0.419
   0.0010 3.9564059  4.1726  2.6270  4.0486 -0.590 -0.580 -0.170 -0.078 -0.147 -0.074 -0.012 -0.427
   0.0010 3.9886332  4.1738  2.5865  4.0973 -0.481 -0.580 -0.170 -0.079 -0.148 -0.075 -0.012 -0.429
   0.0010 4.0150906  4.1714  2.5468  4.1305 -0.396 -0.574 -0.168 -0.078 -0.147 -0.074 -0.012 -0.425
   0.0010 4.0472249  4.1687  2.5094  4.1604 -0.318 -0.567 -0.166 -0.077 -0.145 -0.074 -0.012 -0.420
   0.0010 4.0976303  4.1719  2.5016  4.1865 -0.280 -0.572 -0.167 -0.078 -0.147 -0.074 -0.012 -0.426
   0.0010 4.1165176  4.1763  2.5153  4.1925 -0.288 -0.580 -0.169 -0.080 -0.150 -0.075 -0.013 -0.434
   0.0010 4.1307707  4.1807  2.5300  4.1970 -0.298 -0.589 -0.172 -0.081 -0.153 -0.077 -0.013 -0.444
   0.0010 4.1427986  4.1851  2.5447  4.2010 -0.308 -0.597 -0.174 -0.083 -0.156 -0.079 -0.013 -0.455
   0.0010 4.1535130  4.1895  2.5594  4.2051 -0.318 -0.606 -0.176 -0.084 -0.158 -0.081 -0.014 -0.465
   0.0010 4.1633375  4.1939  2.5739  4.2092 -0.328 -0.614 -0.178 -0.085 -0.161 -0.084 -0.014 -0.477
   0.0010 4.1726191  4.1983  2.5881  4.2136 -0.337 -0.621 -0.180 -0.087 -0.163 -0.086 -0.015 -0.488
   0.0010 4.1816429  4.2027  2.6020  4.2183 -0.345 -0.629 -0.182 -0.088 -0.166 -0.089 -0.015 -0.501
   0.0010 4.1907089  4.2072  2.6155  4.2235 -0.351 -0.637 -0.185 -0.089 -0.169 -0.092 -0.016 -0.512
   0.0010 4.2000785  4.2116  2.6284  4.2294 -0.357 -0.645 -0.187 -0.091 -0.171 -0.094 -0.017 -0.522
   0.0010 4.2097470  4.2161  2.6409  4.2358 -0.361 -0.652 -0.188 -0.092 -0.174 -0.096 -0.017 -0.531
   0.0010 4.2199640  4.2206  2.6527  4.2429 -0.363 -0.660 -0.190 -0.093 -0.176 -0.098 -0.018 -0.541
   0.0010 4.2310222  4.2251  2.6637  4.2511 -0.364 -0.667 -0.192 -0.094 -0.179 -0.100 -0.019 -0.550
   0.0010 4.2436032  4.2296  2.6734  4.2607 -0.361 -0.675 -0.194 -0.095 -0.181 -0.102 -0.020 -0.558
   0.0010 4.2588683  4.2342  2.6813  4.2727 -0.353 -0.682 -0.196 -0.097 -0.183 -0.104 -0.021 -0.566
   0.0010 4.2792424  4.2388  2.6854  4.2891 -0.336 -0.689 -0.197 -0.098 -0.186 -0.106 -0.022 -0.573
   0.0010 4.3357185  4.2421  2.6663  4.3270 -0.269 -0.693 -0.198 -0.098 -0.187 -0.107 -0.022 -0.577
   0.0010 4.4696309  4.2408  2.6463  4.3552 -0.226 -0.690 -0.197 -0.098 -0.187 -0.107 -0.022 -0.576
   0.0010 4.5502077  4.2447  2.6712  4.3536 -0.265 -0.696 -0.199 -0.099 -0.189 -0.108 -0.022 -0.581
   0.0010 4.6207428  4.2487  2.6952  4.3522 -0.302 -0.702 -0.200 -0.100 -0.190 -0.109 -0.023 -0.585
   0.0010 4.6920375  4.2526  2.7190  4.3509 -0.339 -0.708 -0.202 -0.100 -0.192 -0.110 -0.023 -0.589
   0.0010 4.7649025  4.2566  2.7428  4.3497 -0.375 -0.714 -0.204 -0.101 -0.194 -0.111 -0.024 -0.593
   0.0010 4.8398573  4.2606  2.7668  4.3484 -0.412 -0.720 -0.205 -0.102 -0.195 -0.112 -0.024 -0.596
   0.0010 4.9165572  4.2646  2.7908  4.3471 -0.450 -0.726 -0.207 -0.103 -0.197 -0.113 -0.025 -0.600
 
#  age(Gyr)= 0.002
   0.0020 0.1591867  3.4995 -1.1722  3.7600 10.783  1.572  1.578  1.388  2.987  0.879  0.187  5.935
   0.0020 0.1679778  3.5026 -1.1381  3.7618 10.704  1.606  1.534  1.376  2.964  0.869  0.173  5.940
   0.0020 0.1772630  3.5058 -1.1047  3.7646 10.619  1.631  1.491  1.364  2.940  0.861  0.160  5.936
   0.0020 0.1871168  3.5091 -1.0715  3.7680 10.483  1.599  1.466  1.345  2.908  0.866  0.155  5.877
   0.0020 0.1968726  3.5124 -1.0390  3.7708 10.340  1.557  1.442  1.326  2.876  0.874  0.150  5.810
   0.0020 0.2073633  3.5157 -1.0069  3.7746 10.188  1.503  1.420  1.306  2.843  0.885  0.147  5.733
   0.0020 0.2182554  3.5191 -0.9745  3.7778 10.030  1.441  1.400  1.286  2.811  0.898  0.145  5.649
   0.0020 0.2297508  3.5224 -0.9416  3.7803  9.865  1.370  1.382  1.266  2.780  0.914  0.145  5.559
   0.0020 0.2419984  3.5256 -0.9088  3.7831  9.695  1.295  1.366  1.245  2.745  0.930  0.146  5.463
   0.0020 0.2542595  3.5291 -0.8775  3.7870  9.530  1.235  1.351  1.215  2.694  0.939  0.154  5.363
   0.0020 0.2664291  3.5326 -0.8470  3.7908  9.360  1.172  1.339  1.181  2.635  0.948  0.166  5.252
   0.0020 0.2782660  3.5362 -0.8179  3.7951  9.182  1.106  1.329  1.141  2.567  0.956  0.181  5.126
   0.0020 0.2900774  3.5399 -0.7894  3.7993  8.996  1.037  1.323  1.096  2.488  0.964  0.201  4.987
   0.0020 0.3016588  3.5435 -0.7610  3.8026  8.800  0.967  1.321  1.047  2.401  0.972  0.224  4.834
   0.0020 0.3164442  3.5470 -0.7306  3.8071  8.618  0.940  1.320  1.014  2.328  0.976  0.232  4.709
   0.0020 0.3311080  3.5505 -0.6998  3.8098  8.447  0.934  1.320  0.989  2.264  0.978  0.234  4.599
   0.0020 0.3474288  3.5539 -0.6685  3.8131  8.279  0.942  1.321  0.967  2.201  0.979  0.233  4.495
   0.0020 0.3647290  3.5574 -0.6375  3.8170  8.114  0.964  1.325  0.949  2.139  0.978  0.228  4.394
   0.0020 0.3823418  3.5609 -0.6066  3.8205  7.955  1.001  1.329  0.935  2.081  0.976  0.220  4.302
   0.0020 0.4012762  3.5644 -0.5761  3.8250  7.802  1.054  1.336  0.925  2.024  0.972  0.208  4.215
   0.0020 0.4197107  3.5680 -0.5469  3.8297  7.658  1.123  1.344  0.920  1.969  0.967  0.193  4.137
   0.0020 0.4397705  3.5716 -0.5177  3.8352  7.524  1.209  1.352  0.921  1.920  0.961  0.173  4.070
