#  X_0 = X0p602357; Z_0 = Z0p027643
#  Age    M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    J-K    H-K    V-K
#  age(Gyr)= 0.001
   0.0010 0.3031344  3.5446 -0.5615  3.6094  7.749  1.477  1.544  0.997  2.099  0.946  0.198  4.254
   0.0010 0.3159125  3.5483 -0.5329  3.6136  7.616  1.496  1.537  0.984  2.054  0.942  0.195  4.182
   0.0010 0.3294906  3.5521 -0.5049  3.6190  7.491  1.512  1.530  0.972  2.013  0.938  0.191  4.117
   0.0010 0.3435230  3.5558 -0.4766  3.6239  7.374  1.525  1.523  0.961  1.977  0.934  0.188  4.061
   0.0010 0.3581806  3.5596 -0.4493  3.6300  7.259  1.536  1.517  0.951  1.942  0.930  0.184  4.005
   0.0010 0.3725585  3.5634 -0.4217  3.6347  7.144  1.545  1.510  0.940  1.907  0.926  0.181  3.950
   0.0010 0.3870671  3.5673 -0.3944  3.6393  7.024  1.555  1.503  0.928  1.869  0.921  0.178  3.889
   0.0010 0.4016216  3.5711 -0.3674  3.6437  6.903  1.563  1.494  0.913  1.828  0.915  0.174  3.823
   0.0010 0.4170455  3.5750 -0.3407  3.6488  6.778  1.569  1.485  0.897  1.784  0.908  0.170  3.751
   0.0010 0.4328299  3.5789 -0.3141  3.6539  6.651  1.573  1.473  0.881  1.740  0.900  0.165  3.678
   0.0010 0.4483439  3.5828 -0.2877  3.6583  6.527  1.573  1.462  0.864  1.696  0.892  0.161  3.606
   0.0010 0.4644879  3.5867 -0.2613  3.6628  6.408  1.570  1.450  0.848  1.656  0.884  0.158  3.537
   0.0010 0.4810445  3.5906 -0.2350  3.6674  6.299  1.565  1.438  0.833  1.619  0.875  0.154  3.474
   0.0010 0.4980789  3.5944 -0.2086  3.6716  6.202  1.558  1.426  0.819  1.586  0.866  0.151  3.418
   0.0010 0.5156361  3.5983 -0.1823  3.6760  6.116  1.550  1.415  0.807  1.557  0.859  0.148  3.366
   0.0010 0.5339579  3.6022 -0.1559  3.6804  6.036  1.540  1.403  0.795  1.528  0.851  0.145  3.316
   0.0010 0.5526422  3.6061 -0.1294  3.6843  5.959  1.529  1.391  0.783  1.500  0.844  0.143  3.268
   0.0010 0.5718666  3.6100 -0.1024  3.6875  5.879  1.517  1.380  0.772  1.476  0.837  0.141  3.223
   0.0010 0.5922771  3.6138 -0.0757  3.6915  5.795  1.504  1.369  0.762  1.453  0.829  0.139  3.182
   0.0010 0.6133790  3.6177 -0.0485  3.6950  5.708  1.491  1.358  0.753  1.431  0.822  0.137  3.143
   0.0010 0.6359247  3.6215 -0.0212  3.6987  5.616  1.479  1.348  0.744  1.411  0.816  0.134  3.106
   0.0010 0.6588967  3.6253  0.0069  3.7010  5.519  1.466  1.337  0.734  1.391  0.810  0.132  3.069
   0.0010 0.6836494  3.6291  0.0349  3.7042  5.421  1.451  1.325  0.725  1.370  0.803  0.130  3.031
   0.0010 0.7093016  3.6328  0.0631  3.7069  5.323  1.434  1.313  0.714  1.348  0.795  0.129  2.991
   0.0010 0.7375194  3.6365  0.0923  3.7094  5.220  1.416  1.300  0.704  1.326  0.787  0.127  2.949
   0.0010 0.7511564  3.6409  0.1094  3.7178  5.142  1.390  1.281  0.691  1.297  0.775  0.124  2.894
   0.0010 0.7671991  3.6450  0.1320  3.7208  5.051  1.364  1.263  0.677  1.270  0.764  0.121  2.841
   0.0010 0.8023835  3.6484  0.1638  3.7222  4.944  1.340  1.248  0.666  1.247  0.755  0.119  2.796
   0.0010 0.8378362  3.6519  0.1945  3.7245  4.840  1.313  1.231  0.654  1.223  0.745  0.117  2.750
   0.0010 0.8752752  3.6554  0.2263  3.7255  4.734  1.287  1.216  0.643  1.200  0.735  0.115  2.705
   0.0010 0.9142330  3.6589  0.2582  3.7264  4.629  1.259  1.200  0.632  1.178  0.724  0.113  2.661
   0.0010 0.9565323  3.6623  0.2901  3.7278  4.525  1.230  1.183  0.621  1.157  0.714  0.111  2.618
   0.0010 1.0005640  3.6658  0.3222  3.7291  4.421  1.201  1.167  0.610  1.136  0.704  0.108  2.575
   0.0010 1.0479476  3.6691  0.3548  3.7301  4.316  1.169  1.150  0.600  1.115  0.694  0.106  2.532
   0.0010 1.0978150  3.6725  0.3877  3.7309  4.212  1.136  1.133  0.590  1.095  0.682  0.105  2.489
   0.0010 1.1503179  3.6759  0.4207  3.7316  4.108  1.101  1.116  0.580  1.075  0.670  0.103  2.447
   0.0010 1.2056885  3.6792  0.4542  3.7317  4.004  1.066  1.099  0.569  1.055  0.659  0.101  2.405
   0.0010 1.2666738  3.6824  0.4880  3.7323  3.901  1.030  1.082  0.559  1.037  0.648  0.099  2.364
   0.0010 1.3298835  3.6857  0.5221  3.7324  3.797  0.995  1.066  0.549  1.019  0.637  0.097  2.325
   0.0010 1.3974003  3.6888  0.5567  3.7320  3.693  0.961  1.050  0.541  1.003  0.627  0.096  2.288
   0.0010 1.4681068  3.6920  0.5912  3.7317  3.590  0.926  1.034  0.532  0.986  0.616  0.095  2.251
   0.0010 1.5412079  3.6951  0.6265  3.7299  3.485  0.891  1.018  0.523  0.971  0.606  0.093  2.215
   0.0010 1.6206919  3.6983  0.6617  3.7290  3.381  0.856  1.002  0.514  0.955  0.596  0.092  2.179
   0.0010 1.7002268  3.7012  0.6979  3.7256  3.276  0.823  0.986  0.506  0.941  0.586  0.090  2.144
   0.0010 1.7852308  3.7042  0.7341  3.7226  3.172  0.789  0.971  0.498  0.926  0.576  0.089  2.111
   0.0010 1.8717415  3.7072  0.7705  3.7186  3.067  0.756  0.957  0.490  0.912  0.567  0.087  2.077
   0.0010 1.9598298  3.7102  0.8072  3.7137  2.963  0.725  0.942  0.482  0.898  0.557  0.085  2.045
   0.0010 2.0505655  3.7131  0.8443  3.7078  2.857  0.694  0.927  0.475  0.885  0.548  0.084  2.013
   0.0010 2.1413242  3.7159  0.8816  3.7008  2.752  0.664  0.912  0.467  0.872  0.539  0.083  1.982
   0.0010 2.2318426  3.7188  0.9191  3.6926  2.647  0.635  0.897  0.460  0.860  0.530  0.082  1.952
   0.0010 2.3208750  3.7216  0.9568  3.6831  2.542  0.606  0.883  0.453  0.848  0.522  0.081  1.922
   0.0010 2.4080769  3.7243  0.9950  3.6719  2.436  0.579  0.869  0.445  0.836  0.513  0.079  1.893
   0.0010 2.4922225  3.7270  1.0333  3.6595  2.330  0.553  0.856  0.438  0.825  0.505  0.078  1.865
   0.0010 2.5707862  3.7298  1.0716  3.6455  2.225  0.527  0.842  0.432  0.814  0.496  0.077  1.837
   0.0010 2.6446693  3.7324  1.1105  3.6296  2.119  0.502  0.829  0.425  0.802  0.488  0.076  1.810
   0.0010 2.7128307  3.7350  1.1496  3.6120  2.012  0.479  0.816  0.419  0.792  0.481  0.074  1.783
   0.0010 2.7731784  3.7376  1.1886  3.5929  1.906  0.456  0.802  0.413  0.781  0.473  0.073  1.757
   0.0010 2.8284969  3.7402  1.2281  3.5722  1.799  0.434  0.790  0.407  0.771  0.465  0.072  1.731
   0.0010 2.8765951  3.7427  1.2678  3.5500  1.692  0.413  0.777  0.400  0.761  0.458  0.071  1.706
   0.0010 2.9183587  3.7453  1.3073  3.5270  1.586  0.392  0.764  0.393  0.751  0.450  0.070  1.680
   0.0010 2.9549961  3.7479  1.3464  3.5038  1.481  0.371  0.751  0.387  0.741  0.442  0.069  1.654
   0.0010 2.9880671  3.7505  1.3854  3.4801  1.376  0.350  0.738  0.381  0.731  0.435  0.068  1.629
   0.0010 3.0185498  3.7532  1.4243  3.4561  1.272  0.329  0.725  0.375  0.720  0.427  0.066  1.603
   0.0010 3.0464544  3.7559  1.4623  3.4332  1.169  0.309  0.711  0.369  0.710  0.419  0.065  1.576
   0.0010 3.0735539  3.7588  1.4996  3.4111  1.069  0.289  0.697  0.362  0.699  0.411  0.064  1.549
   0.0010 3.1004955  3.7618  1.5358  3.3908  0.971  0.270  0.682  0.356  0.688  0.402  0.063  1.520
   0.0010 3.1270799  3.7650  1.5704  3.3727  0.878  0.251  0.666  0.349  0.677  0.393  0.062  1.490
   0.0010 3.1537679  3.7682  1.6041  3.3557  0.786  0.232  0.650  0.342  0.665  0.384  0.060  1.459
   0.0010 3.1789478  3.7717  1.6358  3.3414  0.699  0.214  0.634  0.335  0.652  0.374  0.059  1.426
   0.0010 3.2031278  3.7753  1.6666  3.3281  0.615  0.196  0.616  0.327  0.638  0.364  0.057  1.393
   0.0010 3.2261529  3.7790  1.6959  3.3166  0.534  0.179  0.598  0.319  0.624  0.354  0.055  1.359
   0.0010 3.2475971  3.7828  1.7235  3.3071  0.458  0.163  0.580  0.311  0.610  0.343  0.053  1.323
   0.0010 3.2675856  3.7866  1.7499  3.2989  0.385  0.148  0.562  0.303  0.596  0.333  0.052  1.287
   0.0010 3.2862923  3.7906  1.7749  3.2924  0.316  0.135  0.543  0.295  0.581  0.322  0.050  1.251
   0.0010 3.3035546  3.7947  1.7983  3.2875  0.250  0.124  0.525  0.287  0.565  0.310  0.048  1.213
   0.0010 3.3180674  3.7990  1.8184  3.2863  0.193  0.114  0.505  0.279  0.549  0.299  0.046  1.174
   0.0010 3.3322405  3.8032  1.8384  3.2852  0.136  0.107  0.486  0.271  0.532  0.287  0.044  1.135
   0.0010 3.3445775  3.8076  1.8560  3.2866  0.086  0.101  0.467  0.262  0.515  0.275  0.042  1.096
   0.0010 3.3559241  3.8120  1.8725  3.2892  0.038  0.097  0.448  0.254  0.498  0.264  0.040  1.057
   0.0010 3.3665801  3.8164  1.8882  3.2927 -0.007  0.095  0.430  0.245  0.480  0.253  0.038  1.017
   0.0010 3.3765213  3.8209  1.9029  3.2971 -0.050  0.094  0.411  0.235  0.461  0.242  0.036  0.977
   0.0010 3.3861348  3.8254  1.9174  3.3017 -0.091  0.095  0.393  0.226  0.443  0.231  0.034  0.938
   0.0010 3.3954315  3.8298  1.9315  3.3068 -0.132  0.097  0.375  0.217  0.425  0.220  0.032  0.899
   0.0010 3.4044492  3.8343  1.9453  3.3121 -0.171  0.099  0.358  0.208  0.407  0.209  0.030  0.860
   0.0010 3.4133060  3.8388  1.9591  3.3174 -0.210  0.103  0.341  0.199  0.389  0.200  0.029  0.823
   0.0010 3.4220240  3.8433  1.9727  3.3229 -0.248  0.106  0.325  0.190  0.372  0.191  0.028  0.787
   0.0010 3.4305514  3.8478  1.9862  3.3285 -0.285  0.109  0.310  0.181  0.356  0.182  0.026  0.752
   0.0010 3.4389694  3.8523  1.9997  3.3341 -0.321  0.111  0.294  0.172  0.339  0.173  0.025  0.717
   0.0010 3.4472839  3.8568  2.0131  3.3397 -0.357  0.113  0.278  0.163  0.322  0.163  0.023  0.681
   0.0010 3.4554604  3.8614  2.0264  3.3455 -0.392  0.114  0.262  0.154  0.305  0.154  0.022  0.645
   0.0010 3.4635127  3.8659  2.0396  3.3514 -0.427  0.115  0.244  0.144  0.287  0.144  0.020  0.608
   0.0010 3.4714788  3.8704  2.0528  3.3572 -0.461  0.115  0.226  0.135  0.269  0.135  0.019  0.571
   0.0010 3.4793190  3.8749  2.0659  3.3632 -0.493  0.113  0.209  0.125  0.250  0.126  0.017  0.535
   0.0010 3.4870380  3.8794  2.0789  3.3693 -0.525  0.111  0.193  0.116  0.232  0.118  0.016  0.499
   0.0010 3.4946589  3.8839  2.0918  3.3754 -0.556  0.108  0.176  0.107  0.215  0.109  0.015  0.464
   0.0010 3.5022034  3.8885  2.1047  3.3815 -0.586  0.103  0.161  0.099  0.198  0.101  0.014  0.430
   0.0010 3.5096325  3.8930  2.1175  3.3878 -0.615  0.096  0.146  0.091  0.182  0.092  0.013  0.398
   0.0010 3.5169676  3.8975  2.1302  3.3941 -0.644  0.088  0.132  0.084  0.167  0.085  0.012  0.366
   0.0010 3.5242385  3.9021  2.1428  3.4004 -0.671  0.079  0.119  0.077  0.152  0.077  0.011  0.337
   0.0010 3.5313789  3.9066  2.1554  3.4069 -0.697  0.069  0.106  0.070  0.138  0.071  0.010  0.309
   0.0010 3.5384346  3.9111  2.1678  3.4135 -0.722  0.058  0.095  0.065  0.125  0.065  0.008  0.283
   0.0010 3.5454083  3.9157  2.1802  3.4201 -0.747  0.045  0.085  0.059  0.113  0.060  0.007  0.260
   0.0010 3.5522870  3.9202  2.1924  3.4269 -0.770  0.031  0.076  0.054  0.103  0.055  0.006  0.239
   0.0010 3.5591020  3.9247  2.2047  3.4336 -0.793  0.015  0.069  0.050  0.094  0.050  0.006  0.220
   0.0010 3.5658315  3.9293  2.2168  3.4405 -0.815 -0.002  0.064  0.047  0.087  0.046  0.006  0.203
   0.0010 3.5725053  3.9338  2.2289  3.4474 -0.837 -0.019  0.058  0.043  0.081  0.042  0.006  0.188
   0.0010 3.5790817  3.9384  2.2408  3.4544 -0.858 -0.035  0.053  0.040  0.075  0.038  0.006  0.173
   0.0010 3.5856106  3.9429  2.2527  3.4615 -0.878 -0.051  0.048  0.038  0.069  0.035  0.005  0.160
   0.0010 3.5920402  3.9475  2.2645  3.4687 -0.897 -0.066  0.043  0.035  0.063  0.032  0.005  0.146
   0.0010 3.5984064  3.9520  2.2762  3.4760 -0.916 -0.080  0.037  0.032  0.056  0.029  0.004  0.133
   0.0010 3.6046997  3.9566  2.2878  3.4834 -0.934 -0.091  0.031  0.030  0.049  0.025  0.004  0.119
   0.0010 3.6109152  3.9611  2.2993  3.4909 -0.952 -0.101  0.023  0.027  0.040  0.022  0.002  0.103
   0.0010 3.6170938  3.9657  2.3108  3.4984 -0.969 -0.111  0.017  0.025  0.033  0.019  0.002  0.090
   0.0010 3.6231963  3.9703  2.3221  3.5061 -0.985 -0.122  0.011  0.023  0.027  0.016  0.001  0.078
   0.0010 3.6292255  3.9748  2.3333  3.5138 -1.000 -0.131  0.006  0.021  0.020  0.013  0.000  0.066
   0.0010 3.6352400  3.9794  2.3445  3.5216 -1.015 -0.140  0.001  0.019  0.014  0.010 -0.000  0.055
   0.0010 3.6411795  3.9840  2.3556  3.5296 -1.029 -0.148 -0.004  0.017  0.009  0.008 -0.001  0.044
   0.0010 3.6470318  3.9885  2.3665  3.5376 -1.042 -0.155 -0.008  0.015  0.003  0.005 -0.001  0.033
   0.0010 3.6528895  3.9931  2.3774  3.5457 -1.054 -0.161 -0.013  0.013 -0.002  0.002 -0.001  0.022
   0.0010 3.6586490  3.9977  2.3882  3.5540 -1.065 -0.167 -0.017  0.011 -0.007 -0.000 -0.001  0.011
   0.0010 3.6643311  4.0023  2.3988  3.5624 -1.076 -0.172 -0.020  0.008 -0.012 -0.003 -0.001  0.001
   0.0010 3.6700141  4.0069  2.4093  3.5708 -1.085 -0.178 -0.024  0.006 -0.018 -0.005 -0.001 -0.010
   0.0010 3.6756207  4.0115  2.4197  3.5795 -1.094 -0.184 -0.028  0.004 -0.023 -0.008 -0.002 -0.020
   0.0010 3.6812227  4.0160  2.4300  3.5881 -1.102 -0.191 -0.033  0.002 -0.029 -0.010 -0.002 -0.031
   0.0010 3.6868129  4.0206  2.4403  3.5968 -1.109 -0.198 -0.037  0.000 -0.034 -0.013 -0.002 -0.041
   0.0010 3.6922984  4.0252  2.4504  3.6058 -1.116 -0.207 -0.041 -0.002 -0.040 -0.015 -0.002 -0.051
   0.0010 3.6977910  4.0298  2.4604  3.6148 -1.121 -0.216 -0.045 -0.004 -0.045 -0.017 -0.003 -0.061
   0.0010 3.7032211  4.0344  2.4703  3.6240 -1.125 -0.227 -0.049 -0.006 -0.051 -0.020 -0.003 -0.071
   0.0010 3.7086049  4.0390  2.4800  3.6333 -1.129 -0.239 -0.054 -0.008 -0.056 -0.022 -0.004 -0.081
   0.0010 3.7140475  4.0436  2.4897  3.6426 -1.132 -0.253 -0.058 -0.010 -0.062 -0.024 -0.004 -0.091
   0.0010 3.7193338  4.0482  2.4991  3.6522 -1.133 -0.270 -0.062 -0.011 -0.067 -0.026 -0.005 -0.100
   0.0010 3.7246850  4.0528  2.5086  3.6618 -1.133 -0.280 -0.066 -0.013 -0.073 -0.028 -0.005 -0.110
   0.0010 3.7300135  4.0574  2.5179  3.6716 -1.133 -0.291 -0.070 -0.015 -0.078 -0.031 -0.006 -0.120
   0.0010 3.7352685  4.0621  2.5269  3.6816 -1.131 -0.302 -0.074 -0.017 -0.083 -0.033 -0.006 -0.130
   0.0010 3.7405990  4.0667  2.5360  3.6916 -1.128 -0.312 -0.077 -0.019 -0.089 -0.035 -0.007 -0.140
   0.0010 3.7458462  4.0713  2.5448  3.7019 -1.124 -0.322 -0.081 -0.021 -0.094 -0.037 -0.007 -0.149
   0.0010 3.7510929  4.0759  2.5535  3.7123 -1.119 -0.332 -0.085 -0.023 -0.099 -0.040 -0.007 -0.159
   0.0010 3.7563818  4.0805  2.5621  3.7228 -1.113 -0.341 -0.089 -0.025 -0.104 -0.042 -0.008 -0.169
   0.0010 3.7616161  4.0852  2.5705  3.7336 -1.105 -0.349 -0.092 -0.026 -0.109 -0.045 -0.008 -0.179
   0.0010 3.7668796  4.0898  2.5787  3.7444 -1.097 -0.355 -0.096 -0.028 -0.113 -0.047 -0.008 -0.189
   0.0010 3.7721489  4.0944  2.5868  3.7555 -1.086 -0.361 -0.099 -0.029 -0.118 -0.050 -0.008 -0.199
   0.0010 3.7774139  4.0991  2.5947  3.7667 -1.075 -0.370 -0.103 -0.031 -0.123 -0.052 -0.008 -0.208
   0.0010 3.7827198  4.1037  2.6025  3.7781 -1.063 -0.379 -0.107 -0.033 -0.127 -0.054 -0.009 -0.218
   0.0010 3.7880304  4.1083  2.6100  3.7897 -1.050 -0.389 -0.110 -0.035 -0.132 -0.057 -0.009 -0.228
   0.0010 3.7933806  4.1130  2.6174  3.8016 -1.036 -0.399 -0.114 -0.036 -0.137 -0.059 -0.009 -0.238
   0.0010 3.7987777  4.1176  2.6246  3.8136 -1.020 -0.409 -0.118 -0.038 -0.141 -0.061 -0.010 -0.248
   0.0010 3.8042280  4.1223  2.6315  3.8259 -1.003 -0.420 -0.122 -0.040 -0.146 -0.064 -0.010 -0.258
   0.0010 3.8097630  4.1269  2.6381  3.8385 -0.984 -0.432 -0.125 -0.042 -0.151 -0.066 -0.010 -0.268
   0.0010 3.8154112  4.1316  2.6444  3.8515 -0.964 -0.444 -0.129 -0.044 -0.155 -0.068 -0.011 -0.279
   0.0010 3.8212018  4.1363  2.6504  3.8649 -0.942 -0.457 -0.133 -0.046 -0.160 -0.071 -0.011 -0.289
   0.0010 3.8272117  4.1409  2.6558  3.8788 -0.918 -0.471 -0.137 -0.048 -0.164 -0.073 -0.012 -0.299
   0.0010 3.8335532  4.1456  2.6604  3.8936 -0.889 -0.483 -0.141 -0.050 -0.170 -0.075 -0.012 -0.310
   0.0010 3.8404045  4.1503  2.6639  3.9097 -0.856 -0.494 -0.145 -0.052 -0.175 -0.078 -0.013 -0.321
   0.0010 3.8481036  4.1550  2.6656  3.9277 -0.816 -0.506 -0.149 -0.054 -0.181 -0.081 -0.013 -0.333
   0.0010 3.8574943  4.1597  2.6639  3.9492 -0.763 -0.517 -0.153 -0.057 -0.187 -0.084 -0.014 -0.346
   0.0010 3.8718576  4.1642  2.6516  3.9811 -0.678 -0.526 -0.158 -0.059 -0.194 -0.087 -0.014 -0.361
   0.0010 3.8958638  4.1653  2.6105  4.0294 -0.553 -0.527 -0.160 -0.060 -0.197 -0.088 -0.014 -0.366
   0.0010 3.9140400  4.1627  2.5713  4.0603 -0.474 -0.521 -0.158 -0.059 -0.195 -0.087 -0.014 -0.361
   0.0010 3.9306108  4.1595  2.5372  4.0833 -0.414 -0.512 -0.156 -0.058 -0.191 -0.085 -0.014 -0.353
   0.0010 3.9505273  4.1561  2.5052  4.1037 -0.361 -0.503 -0.153 -0.057 -0.188 -0.083 -0.014 -0.346
   0.0010 4.0000033  4.1564  2.4884  4.1272 -0.315 -0.504 -0.154 -0.057 -0.188 -0.084 -0.014 -0.347
   0.0010 4.0202154  4.1608  2.5046  4.1309 -0.318 -0.515 -0.157 -0.059 -0.193 -0.086 -0.014 -0.357
   0.0010 4.0351378  4.1652  2.5211  4.1336 -0.322 -0.526 -0.160 -0.060 -0.197 -0.088 -0.014 -0.367
   0.0010 4.0477066  4.1696  2.5373  4.1364 -0.324 -0.537 -0.163 -0.062 -0.202 -0.091 -0.014 -0.377
   0.0010 4.0588837  4.1741  2.5532  4.1394 -0.324 -0.548 -0.166 -0.063 -0.208 -0.093 -0.015 -0.387
   0.0010 4.0690278  4.1785  2.5686  4.1428 -0.323 -0.558 -0.170 -0.065 -0.213 -0.095 -0.015 -0.398
   0.0010 4.0783800  4.1829  2.5836  4.1467 -0.322 -0.569 -0.173 -0.066 -0.218 -0.098 -0.015 -0.408
   0.0010 4.0871239  4.1874  2.5983  4.1508 -0.321 -0.580 -0.176 -0.068 -0.222 -0.100 -0.016 -0.418
   0.0010 4.0953919  4.1919  2.6127  4.1552 -0.320 -0.591 -0.179 -0.069 -0.227 -0.103 -0.016 -0.428
   0.0010 4.1033377  4.1964  2.6266  4.1601 -0.319 -0.602 -0.182 -0.071 -0.231 -0.105 -0.016 -0.439
   0.0010 4.1111941  4.2009  2.6401  4.1654 -0.317 -0.613 -0.185 -0.072 -0.236 -0.107 -0.017 -0.449
   0.0010 4.1192420  4.2054  2.6530  4.1715 -0.314 -0.624 -0.189 -0.074 -0.240 -0.110 -0.017 -0.460
   0.0010 4.1276108  4.2100  2.6653  4.1782 -0.310 -0.635 -0.192 -0.076 -0.244 -0.112 -0.018 -0.470
   0.0010 4.1364255  4.2145  2.6770  4.1857 -0.306 -0.645 -0.195 -0.077 -0.248 -0.114 -0.018 -0.480
   0.0010 4.1460133  4.2191  2.6877  4.1942 -0.300 -0.656 -0.198 -0.079 -0.252 -0.117 -0.019 -0.491
   0.0010 4.1569435  4.2237  2.6972  4.2044 -0.292 -0.668 -0.202 -0.081 -0.255 -0.119 -0.019 -0.501
   0.0010 4.1703131  4.2283  2.7045  4.2170 -0.278 -0.678 -0.205 -0.082 -0.259 -0.121 -0.019 -0.511
   0.0010 4.1896894  4.2330  2.7072  4.2351 -0.253 -0.688 -0.208 -0.084 -0.263 -0.124 -0.020 -0.520
   0.0010 4.2449777  4.2352  2.6790  4.2776 -0.164 -0.693 -0.209 -0.084 -0.265 -0.125 -0.020 -0.524
   0.0010 4.3499278  4.2335  2.6593  4.3013 -0.122 -0.690 -0.208 -0.084 -0.263 -0.124 -0.020 -0.521
   0.0010 4.4215339  4.2376  2.6839  4.2999 -0.159 -0.699 -0.211 -0.085 -0.266 -0.126 -0.020 -0.529
   0.0010 4.4732322  4.2416  2.7077  4.2973 -0.196 -0.707 -0.213 -0.086 -0.269 -0.128 -0.021 -0.537
   0.0010 4.5276505  4.2457  2.7315  4.2951 -0.233 -0.715 -0.215 -0.087 -0.272 -0.129 -0.021 -0.544
   0.0010 4.6326780  4.2464  2.7447  4.2947 -0.262 -0.717 -0.216 -0.088 -0.273 -0.130 -0.021 -0.545
   0.0010 4.6774576  4.2417  2.7473  4.2776 -0.296 -0.707 -0.213 -0.086 -0.269 -0.128 -0.021 -0.537
 
#  age(Gyr)= 0.002
   0.0020 0.1582171  3.4894 -1.1918  3.7365 10.341  1.205  1.635  1.235  2.876  0.977  0.262  5.395
   0.0020 0.1665209  3.4928 -1.1598  3.7404 10.162  1.214  1.625  1.208  2.804  0.974  0.256  5.286
   0.0020 0.1751217  3.4963 -1.1284  3.7448  9.990  1.225  1.617  1.185  2.736  0.972  0.251  5.184
   0.0020 0.1837309  3.4998 -1.0980  3.7495  9.827  1.237  1.610  1.164  2.674  0.969  0.246  5.092
   0.0020 0.1927653  3.5034 -1.0674  3.7539  9.675  1.250  1.604  1.148  2.623  0.967  0.241  5.015
   0.0020 0.2019525  3.5070 -1.0372  3.7583  9.535  1.261  1.597  1.131  2.567  0.965  0.237  4.934
   0.0020 0.2113908  3.5106 -1.0072  3.7625  9.406  1.272  1.591  1.114  2.513  0.963  0.233  4.856
   0.0020 0.2212774  3.5141 -0.9770  3.7666  9.278  1.283  1.587  1.103  2.477  0.961  0.230  4.802
   0.0020 0.2315743  3.5177 -0.9465  3.7700  9.149  1.297  1.583  1.093  2.440  0.960  0.226  4.747
   0.0020 0.2428226  3.5213 -0.9165  3.7751  9.017  1.314  1.577  1.079  2.394  0.958  0.223  4.678
   0.0020 0.2542604  3.5250 -0.8875  3.7807  8.887  1.334  1.572  1.067  2.350  0.955  0.219  4.611
   0.0020 0.2651935  3.5286 -0.8574  3.7833  8.755  1.355  1.566  1.054  2.307  0.952  0.215  4.546
   0.0020 0.2770730  3.5322 -0.8277  3.7871  8.620  1.373  1.560  1.041  2.261  0.949  0.211  4.477
   0.0020 0.2897388  3.5358 -0.7981  3.7914  8.487  1.393  1.554  1.029  2.216  0.946  0.207  4.408
   0.0020 0.3027149  3.5394 -0.7684  3.7952  8.354  1.413  1.548  1.016  2.171  0.943  0.203  4.339
   0.0020 0.3162660  3.5431 -0.7388  3.7992  8.219  1.432  1.540  1.004  2.125  0.939  0.199  4.269
   0.0020 0.3307291  3.5467 -0.7099  3.8043  8.085  1.450  1.533  0.991  2.080  0.935  0.195  4.197
   0.0020 0.3454290  3.5504 -0.6810  3.8091  7.956  1.465  1.525  0.979  2.038  0.931  0.192  4.131
   0.0020 0.3610581  3.5541 -0.6522  3.8144  7.836  1.478  1.519  0.967  2.001  0.927  0.189  4.074
   0.0020 0.3768816  3.5578 -0.6234  3.8190  7.718  1.489  1.512  0.957  1.967  0.923  0.185  4.020
   0.0020 0.3932877  3.5616 -0.5949  3.8239  7.601  1.499  1.506  0.948  1.933  0.920  0.182  3.966
   0.0020 0.4100150  3.5653 -0.5668  3.8288  7.482  1.509  1.499  0.936  1.896  0.916  0.179  3.908
